2026-05-14 21:48:09 | INFO     | __main__ | ============================================================
2026-05-14 21:48:09 | INFO     | __main__ |   🚀 STAGE: DATA VALIDATION — ETL
2026-05-14 21:48:09 | INFO     | __main__ |   ⏰ Time : 2026-05-14 21:48:09
2026-05-14 21:48:09 | INFO     | __main__ | ============================================================
2026-05-14 21:48:09 | INFO     | __main__ | 📥 EXTRACT — Reading from breast_cancer_raw...
2026-05-14 21:48:09 | INFO     | __main__ | ✅ Extracted 4023 rows from breast_cancer_raw
2026-05-14 21:48:09 | INFO     | __main__ | 🔄 TRANSFORM — Running validation checks...
2026-05-14 21:48:09 | INFO     | __main__ | 🔍 CHECK 1 — Schema...
2026-05-14 21:48:09 | INFO     | __main__ | ✅ Schema valid — all 16 columns present
2026-05-14 21:48:09 | INFO     | __main__ | 🔍 CHECK 2 — Nulls...
2026-05-14 21:48:09 | INFO     | __main__ | ✅ No null values found
2026-05-14 21:48:09 | INFO     | __main__ | 🔍 CHECK 3 — Duplicates...
2026-05-14 21:48:09 | INFO     | __main__ | ✅ No duplicates found
2026-05-14 21:48:09 | INFO     | __main__ | 🔍 CHECK 4 — Class Imbalance...
2026-05-14 21:48:09 | INFO     | __main__ |    Alive: 3407 (84.7%)
2026-05-14 21:48:09 | INFO     | __main__ |    Dead: 616 (15.3%)
2026-05-14 21:48:09 | WARNING  | __main__ | ⚠️  Imbalanced — 15.3% minority → SMOTE needed
2026-05-14 21:48:09 | INFO     | __main__ | 🔍 CHECK 5 — Skewness...
2026-05-14 21:48:09 | INFO     | __main__ | ✅ age skewness OK: -0.22
2026-05-14 21:48:09 | WARNING  | __main__ | ⚠️  tumor_size highly skewed: 1.74
2026-05-14 21:48:09 | INFO     | __main__ | ✅ regional_node_examined skewness OK: 0.83
2026-05-14 21:48:09 | WARNING  | __main__ | ⚠️  regional_node_positive highly skewed: 2.7
2026-05-14 21:48:09 | INFO     | __main__ | ✅ survival_months skewness OK: -0.59
2026-05-14 21:48:09 | INFO     | __main__ | 🔍 CHECK 6 — Outliers...
2026-05-14 21:48:09 | WARNING  | __main__ | ⚠️  tumor_size: 222 outliers | [-17.0, 71.0]
2026-05-14 21:48:09 | WARNING  | __main__ | ⚠️  regional_node_examined: 72 outliers | [-6.0, 34.0]
2026-05-14 21:48:09 | WARNING  | __main__ | ⚠️  regional_node_positive: 344 outliers | [-5.0, 11.0]
2026-05-14 21:48:09 | INFO     | __main__ | 🔍 CHECK 7 — Data Types...
2026-05-14 21:48:09 | INFO     | __main__ | ✅ age is numeric ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ tumor_size is numeric ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ regional_node_examined is numeric ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ regional_node_positive is numeric ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ survival_months is numeric ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ race is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ marital_status is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ t_stage is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ n_stage is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ sixth_stage is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ differentiate is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ grade is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ a_stage is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ estrogen_status is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ progesterone_status is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | ✅ status is categorical ✓
2026-05-14 21:48:09 | INFO     | __main__ | 🔍 CHECK 8 — Survival Months...
2026-05-14 21:48:09 | WARNING  | __main__ | ⚠️  survival_months EXISTS → will be dropped in transform.py
2026-05-14 21:48:09 | INFO     | __main__ | 💾 LOAD — Saving validation report...
2026-05-14 21:48:09 | INFO     | __main__ | ✅ Validation report saved → /home/jibach/End-to-End-Breast-Cancer-Prediction-ML-Pipeline/src/data_validation/../../src/constants/../../logs/validation_report_20260514_214809.json
2026-05-14 21:48:09 | INFO     | __main__ | ✅ DATA VALIDATION ETL COMPLETED ✅
2026-05-14 21:48:09 | INFO     | __main__ |    → Ready for transform.py
